,bigram_coocurence,bigram_distinct,bigram_nostpwrd_coocurence,bigram_nostpwrd_distinct
24981,0.0,78.0,0.0,34.0
24982,2.0,42.0,1.0,10.0
24983,2.0,132.0,2.0,37.0
24984,3.0,114.0,2.0,45.0
24985,1.0,37.0,0.0,11.0
24986,0.0,102.0,0.0,22.0
24987,5.0,60.0,4.0,11.0
24988,1.0,22.0,1.0,8.0
24989,1.0,77.0,1.0,29.0
24990,1.0,46.0,0.0,7.0
24991,1.0,25.0,3.0,4.0
24992,2.0,21.0,1.0,3.0
24993,1.0,18.0,0.0,3.0
24994,12.0,132.0,5.0,20.0
24995,1.0,28.0,1.0,11.0
24996,2.0,50.0,1.0,9.0
24997,0.0,32.0,0.0,12.0
24998,2.0,24.0,1.0,7.0
24999,2.0,183.0,0.0,35.0
25000,1.0,11.0,1.0,4.0
25001,1.0,343.0,0.0,96.0
25002,2.0,41.0,1.0,14.0
25003,3.0,9.0,2.0,4.0
25004,2.0,91.0,1.0,30.0
25005,4.0,41.0,2.0,8.0
25006,2.0,118.0,2.0,34.0
25007,4.0,81.0,1.0,33.0
25008,0.0,36.0,0.0,21.0
25009,7.0,67.0,2.0,8.0
25010,4.0,28.0,2.0,12.0
25011,3.0,48.0,1.0,13.0
25012,4.0,110.0,2.0,23.0
25013,2.0,26.0,1.0,7.0
25014,7.0,70.0,2.0,5.0
25015,1.0,81.0,0.0,20.0
25016,2.0,24.0,0.0,1.0
25017,2.0,19.0,1.0,5.0
25018,3.0,42.0,2.0,24.0
25019,0.0,268.0,1.0,61.0
25020,4.0,87.0,2.0,28.0
25021,2.0,32.0,1.0,7.0
25022,5.0,79.0,2.0,28.0
25023,1.0,34.0,2.0,5.0
25024,1.0,12.0,1.0,8.0
25025,2.0,114.0,1.0,27.0
25026,2.0,130.0,1.0,29.0
25027,2.0,25.0,1.0,8.0
25028,4.0,31.0,3.0,6.0
25029,0.0,60.0,0.0,12.0
25030,4.0,64.0,2.0,19.0
25031,9.0,264.0,2.0,19.0
25032,0.0,190.0,0.0,62.0
25033,5.0,438.0,5.0,181.0
25034,2.0,33.0,1.0,6.0
25035,17.0,292.0,9.0,66.0
25036,0.0,135.0,0.0,54.0
25037,3.0,36.0,1.0,13.0
25038,4.0,33.0,4.0,9.0
25039,7.0,117.0,4.0,36.0
25040,1.0,141.0,1.0,70.0
25041,1.0,53.0,1.0,23.0
25042,5.0,136.0,3.0,15.0
25043,14.0,196.0,8.0,66.0
25044,0.0,54.0,0.0,16.0
25045,4.0,54.0,1.0,11.0
25046,4.0,174.0,3.0,52.0
25047,1.0,41.0,0.0,6.0
25048,2.0,47.0,0.0,3.0
25049,2.0,54.0,1.0,16.0
25050,2.0,24.0,1.0,7.0
25051,2.0,39.0,1.0,10.0
25052,12.0,159.0,5.0,33.0
25053,1.0,21.0,1.0,5.0
25054,1.0,45.0,1.0,12.0
25055,0.0,72.0,0.0,21.0
25056,2.0,11.0,3.0,4.0
25057,4.0,40.0,2.0,6.0
25058,2.0,11.0,2.0,7.0
25059,4.0,22.0,1.0,0.0
25060,1.0,18.0,2.0,5.0
25061,1.0,64.0,1.0,16.0
25062,0.0,32.0,0.0,4.0
25063,0.0,40.0,0.0,7.0
25064,1.0,25.0,1.0,17.0
25065,3.0,183.0,2.0,56.0
25066,2.0,18.0,0.0,6.0
25067,4.0,39.0,2.0,19.0
25068,1.0,26.0,1.0,1.0
25069,2.0,46.0,1.0,11.0
25070,3.0,38.0,2.0,28.0
25071,0.0,64.0,0.0,20.0
25072,1.0,20.0,0.0,5.0
25073,1.0,56.0,1.0,10.0
25074,5.0,130.0,3.0,37.0
25075,1.0,144.0,1.0,34.0
25076,2.0,66.0,1.0,30.0
25077,1.0,13.0,1.0,2.0
25078,1.0,160.0,2.0,18.0
25079,10.0,144.0,3.0,24.0
25080,0.0,27.0,1.0,8.0
25081,2.0,35.0,2.0,11.0
25082,0.0,24.0,0.0,7.0
25083,2.0,175.0,2.0,55.0
25084,0.0,67.0,1.0,26.0
25085,0.0,57.0,1.0,20.0
25086,2.0,20.0,2.0,2.0
25087,14.0,212.0,6.0,44.0
25088,1.0,27.0,0.0,4.0
25089,4.0,67.0,2.0,21.0
25090,1.0,56.0,1.0,8.0
25091,2.0,86.0,2.0,26.0
25092,3.0,57.0,2.0,17.0
25093,0.0,158.0,0.0,100.0
25094,2.0,59.0,3.0,30.0
25095,3.0,124.0,2.0,25.0
25096,3.0,60.0,1.0,8.0
25097,1.0,65.0,1.0,18.0
25098,3.0,66.0,2.0,13.0
25099,2.0,59.0,0.0,23.0
25100,1.0,32.0,2.0,2.0
25101,4.0,195.0,2.0,69.0
25102,5.0,174.0,5.0,68.0
25103,1.0,24.0,2.0,9.0
25104,0.0,97.0,0.0,15.0
25105,3.0,24.0,2.0,7.0
25106,3.0,42.0,2.0,18.0
25107,0.0,27.0,1.0,8.0
25108,3.0,66.0,3.0,24.0
25109,4.0,25.0,3.0,4.0
25110,1.0,33.0,0.0,7.0
25111,3.0,19.0,1.0,4.0
25112,1.0,46.0,2.0,8.0
25113,13.0,184.0,7.0,58.0
25114,8.0,161.0,3.0,37.0
25115,1.0,124.0,1.0,60.0
25116,0.0,188.0,0.0,99.0
25117,2.0,38.0,1.0,17.0
25118,3.0,57.0,1.0,26.0
25119,6.0,72.0,4.0,17.0
25120,6.0,30.0,3.0,6.0
25121,1.0,16.0,2.0,4.0
25122,2.0,65.0,0.0,15.0
25123,0.0,107.0,0.0,22.0
25124,2.0,54.0,1.0,9.0
25125,3.0,82.0,1.0,34.0
25126,5.0,60.0,3.0,14.0
25127,1.0,141.0,0.0,29.0
25128,2.0,33.0,2.0,13.0
25129,2.0,24.0,2.0,13.0
25130,0.0,59.0,0.0,32.0
25131,5.0,75.0,2.0,24.0
25132,6.0,92.0,1.0,6.0
25133,5.0,32.0,4.0,6.0
25134,8.0,149.0,4.0,32.0
25135,0.0,18.0,1.0,7.0
25136,3.0,58.0,1.0,8.0
25137,1.0,26.0,1.0,3.0
25138,5.0,84.0,2.0,9.0
25139,1.0,6.0,0.0,1.0
25140,0.0,65.0,0.0,26.0
25141,2.0,32.0,1.0,7.0
25142,1.0,41.0,1.0,17.0
25143,1.0,41.0,2.0,9.0
25144,4.0,50.0,0.0,7.0
25145,3.0,34.0,4.0,6.0
25146,2.0,91.0,3.0,32.0
25147,1.0,28.0,1.0,13.0
25148,0.0,27.0,0.0,4.0
25149,1.0,23.0,0.0,4.0
25150,1.0,51.0,2.0,19.0
25151,6.0,44.0,4.0,6.0
25152,1.0,62.0,1.0,26.0
25153,3.0,79.0,2.0,28.0
25154,4.0,111.0,2.0,7.0
25155,3.0,79.0,2.0,41.0
25156,4.0,112.0,1.0,26.0
25157,1.0,84.0,0.0,21.0
25158,1.0,75.0,1.0,26.0
25159,11.0,368.0,4.0,75.0
25160,1.0,160.0,1.0,26.0
25161,2.0,57.0,2.0,15.0
25162,1.0,163.0,1.0,49.0
25163,3.0,23.0,1.0,2.0
25164,3.0,37.0,2.0,10.0
25165,3.0,66.0,2.0,15.0
25166,1.0,7.0,1.0,1.0
25167,2.0,23.0,1.0,1.0
25168,5.0,91.0,2.0,24.0
25169,2.0,7.0,2.0,4.0
25170,2.0,75.0,1.0,18.0
25171,1.0,41.0,0.0,8.0
25172,3.0,70.0,1.0,16.0
25173,3.0,48.0,2.0,12.0
25174,0.0,19.0,0.0,3.0
25175,1.0,77.0,2.0,20.0
25176,2.0,18.0,1.0,3.0
25177,2.0,19.0,3.0,10.0
25178,1.0,19.0,1.0,1.0
25179,1.0,138.0,2.0,31.0
25180,3.0,28.0,3.0,6.0
25181,7.0,158.0,2.0,49.0
25182,3.0,211.0,1.0,92.0
25183,3.0,42.0,3.0,20.0
25184,2.0,13.0,1.0,8.0
25185,5.0,75.0,2.0,8.0
25186,1.0,44.0,0.0,11.0
25187,4.0,32.0,2.0,14.0
25188,0.0,39.0,0.0,19.0
25189,2.0,93.0,1.0,28.0
25190,0.0,41.0,0.0,11.0
25191,3.0,35.0,1.0,17.0
25192,4.0,35.0,2.0,9.0
25193,2.0,2.0,1.0,0.0
25194,4.0,453.0,2.0,143.0
25195,6.0,133.0,2.0,18.0
25196,1.0,38.0,1.0,13.0
25197,1.0,85.0,1.0,23.0
25198,3.0,34.0,1.0,8.0
25199,4.0,28.0,4.0,6.0
25200,0.0,65.0,0.0,19.0
25201,0.0,27.0,0.0,11.0
25202,0.0,25.0,2.0,4.0
25203,0.0,100.0,0.0,28.0
25204,2.0,106.0,1.0,43.0
25205,2.0,205.0,2.0,78.0
25206,0.0,36.0,1.0,4.0
25207,5.0,90.0,2.0,26.0
25208,1.0,21.0,2.0,8.0
25209,1.0,28.0,1.0,18.0
25210,2.0,71.0,1.0,6.0
25211,1.0,105.0,2.0,37.0
25212,4.0,47.0,2.0,14.0
25213,1.0,79.0,1.0,25.0
25214,2.0,28.0,2.0,5.0
25215,1.0,11.0,0.0,2.0
25216,0.0,41.0,0.0,16.0
25217,8.0,114.0,5.0,32.0
25218,2.0,13.0,1.0,5.0
25219,1.0,33.0,1.0,7.0
25220,1.0,40.0,2.0,9.0
25221,0.0,55.0,0.0,17.0
25222,1.0,37.0,0.0,10.0
25223,6.0,144.0,4.0,28.0
25224,3.0,22.0,3.0,10.0
25225,5.0,213.0,3.0,34.0
25226,8.0,66.0,5.0,32.0
25227,1.0,23.0,1.0,8.0
25228,1.0,33.0,2.0,17.0
25229,3.0,55.0,1.0,15.0
25230,2.0,49.0,1.0,13.0
25231,2.0,2.0,2.0,2.0
25232,1.0,30.0,2.0,2.0
25233,5.0,52.0,3.0,4.0
25234,2.0,60.0,1.0,15.0
25235,0.0,12.0,0.0,4.0
25236,2.0,36.0,1.0,11.0
25237,0.0,232.0,0.0,112.0
25238,12.0,154.0,7.0,58.0
25239,2.0,127.0,1.0,40.0
25240,0.0,30.0,0.0,16.0
25241,3.0,94.0,0.0,29.0
25242,0.0,167.0,0.0,58.0
25243,3.0,114.0,2.0,53.0
25244,2.0,49.0,1.0,17.0
25245,1.0,16.0,1.0,11.0
25246,1.0,132.0,1.0,45.0
25247,0.0,106.0,0.0,30.0
25248,2.0,28.0,0.0,7.0
25249,1.0,63.0,1.0,19.0
25250,0.0,33.0,1.0,22.0
25251,0.0,49.0,0.0,3.0
25252,0.0,51.0,0.0,15.0
25253,0.0,8.0,0.0,4.0
25254,2.0,88.0,1.0,26.0
25255,5.0,110.0,2.0,33.0
25256,0.0,48.0,0.0,18.0
25257,2.0,77.0,1.0,20.0
25258,4.0,58.0,2.0,22.0
25259,4.0,77.0,1.0,17.0
25260,0.0,55.0,1.0,18.0
25261,4.0,45.0,3.0,7.0
25262,4.0,128.0,2.0,32.0
25263,1.0,8.0,1.0,0.0
25264,4.0,177.0,3.0,66.0
25265,0.0,35.0,0.0,10.0
25266,1.0,53.0,0.0,8.0
25267,1.0,50.0,1.0,11.0
25268,3.0,61.0,2.0,12.0
25269,0.0,79.0,0.0,23.0
25270,8.0,74.0,6.0,44.0
25271,2.0,18.0,2.0,4.0
25272,2.0,96.0,0.0,14.0
25273,0.0,20.0,1.0,11.0
25274,0.0,32.0,1.0,11.0
25275,1.0,53.0,1.0,9.0
25276,9.0,111.0,4.0,31.0
25277,6.0,95.0,3.0,29.0
25278,0.0,71.0,0.0,18.0
25279,0.0,86.0,1.0,15.0
25280,3.0,22.0,3.0,6.0
25281,2.0,118.0,1.0,49.0
25282,4.0,141.0,2.0,28.0
25283,0.0,57.0,1.0,16.0
25284,0.0,44.0,0.0,21.0
25285,3.0,62.0,3.0,14.0
25286,3.0,76.0,2.0,19.0
25287,2.0,29.0,4.0,9.0
25288,6.0,143.0,4.0,51.0
25289,0.0,23.0,0.0,10.0
25290,2.0,48.0,1.0,18.0
25291,7.0,50.0,3.0,14.0
25292,0.0,11.0,0.0,2.0
25293,3.0,36.0,1.0,14.0
25294,4.0,142.0,2.0,48.0
25295,2.0,18.0,1.0,11.0
25296,6.0,30.0,3.0,6.0
25297,1.0,75.0,2.0,22.0
25298,4.0,39.0,0.0,7.0
25299,0.0,44.0,1.0,10.0
25300,1.0,20.0,1.0,15.0
25301,0.0,35.0,0.0,15.0
25302,5.0,59.0,4.0,16.0
25303,4.0,54.0,3.0,13.0
25304,5.0,21.0,3.0,4.0
25305,1.0,42.0,1.0,20.0
25306,0.0,11.0,0.0,8.0
25307,0.0,15.0,1.0,2.0
25308,0.0,27.0,1.0,12.0
25309,9.0,100.0,6.0,30.0
25310,3.0,38.0,2.0,17.0
25311,3.0,37.0,1.0,19.0
25312,3.0,144.0,2.0,46.0
25313,2.0,49.0,0.0,7.0
25314,3.0,76.0,1.0,8.0
25315,3.0,48.0,3.0,13.0
25316,4.0,23.0,3.0,6.0
25317,0.0,67.0,0.0,21.0
25318,1.0,27.0,1.0,7.0
25319,0.0,23.0,0.0,5.0
25320,1.0,27.0,1.0,8.0
25321,5.0,25.0,2.0,4.0
25322,5.0,31.0,3.0,7.0
25323,0.0,97.0,0.0,24.0
25324,1.0,8.0,0.0,1.0
25325,6.0,47.0,3.0,8.0
25326,5.0,146.0,4.0,50.0
25327,0.0,82.0,0.0,21.0
25328,0.0,12.0,0.0,6.0
25329,0.0,48.0,0.0,12.0
25330,3.0,44.0,1.0,4.0
25331,1.0,23.0,0.0,3.0
25332,1.0,176.0,0.0,55.0
25333,0.0,34.0,0.0,7.0
25334,1.0,127.0,0.0,32.0
25335,18.0,252.0,7.0,50.0
25336,1.0,31.0,2.0,8.0
25337,1.0,70.0,2.0,12.0
25338,4.0,96.0,2.0,43.0
25339,4.0,39.0,2.0,11.0
25340,0.0,47.0,0.0,13.0
25341,1.0,57.0,1.0,18.0
25342,1.0,124.0,1.0,63.0
25343,2.0,15.0,1.0,6.0
25344,1.0,68.0,3.0,13.0
25345,10.0,134.0,6.0,58.0
25346,2.0,26.0,1.0,5.0
25347,0.0,130.0,0.0,34.0
25348,6.0,99.0,2.0,16.0
25349,3.0,48.0,2.0,12.0
25350,3.0,69.0,4.0,22.0
25351,0.0,67.0,0.0,23.0
25352,0.0,67.0,1.0,27.0
25353,0.0,30.0,0.0,7.0
25354,1.0,25.0,1.0,9.0
25355,1.0,31.0,0.0,5.0
25356,1.0,32.0,0.0,13.0
25357,3.0,78.0,2.0,35.0
25358,3.0,45.0,1.0,12.0
25359,5.0,88.0,3.0,10.0
25360,1.0,104.0,1.0,29.0
25361,1.0,72.0,0.0,19.0
25362,1.0,58.0,0.0,27.0
25363,5.0,32.0,2.0,8.0
25364,5.0,36.0,4.0,9.0
25365,2.0,115.0,2.0,13.0
25366,0.0,72.0,1.0,20.0
25367,2.0,37.0,1.0,7.0
25368,1.0,24.0,1.0,9.0
25369,1.0,162.0,0.0,24.0
25370,0.0,52.0,0.0,23.0
25371,6.0,224.0,4.0,63.0
25372,2.0,45.0,1.0,8.0
25373,1.0,96.0,1.0,22.0
25374,9.0,72.0,4.0,12.0
25375,0.0,82.0,0.0,19.0
25376,2.0,65.0,0.0,15.0
25377,3.0,83.0,3.0,18.0
25378,2.0,35.0,1.0,8.0
25379,2.0,64.0,2.0,19.0
25380,1.0,42.0,0.0,9.0
25381,2.0,50.0,1.0,13.0
25382,0.0,48.0,0.0,15.0
25383,1.0,57.0,0.0,23.0
25384,7.0,67.0,4.0,17.0
25385,1.0,80.0,1.0,27.0
25386,2.0,33.0,1.0,8.0
25387,8.0,122.0,4.0,58.0
25388,0.0,24.0,0.0,15.0
25389,4.0,22.0,3.0,10.0
25390,0.0,29.0,0.0,11.0
25391,5.0,107.0,1.0,12.0
25392,0.0,30.0,0.0,20.0
25393,0.0,30.0,0.0,14.0
25394,2.0,71.0,2.0,19.0
25395,2.0,123.0,1.0,31.0
25396,0.0,64.0,0.0,24.0
25397,4.0,16.0,2.0,4.0
25398,0.0,113.0,0.0,31.0
25399,0.0,24.0,0.0,3.0
25400,0.0,50.0,0.0,12.0
25401,3.0,124.0,3.0,52.0
25402,1.0,18.0,2.0,1.0
25403,1.0,22.0,0.0,4.0
25404,0.0,55.0,0.0,19.0
25405,16.0,206.0,7.0,59.0
25406,3.0,39.0,1.0,9.0
25407,2.0,48.0,1.0,12.0
25408,4.0,49.0,2.0,12.0
25409,3.0,42.0,1.0,11.0
25410,1.0,50.0,1.0,8.0
25411,2.0,30.0,2.0,8.0
25412,4.0,17.0,2.0,2.0
25413,2.0,47.0,1.0,12.0
25414,18.0,252.0,7.0,50.0
25415,0.0,36.0,0.0,8.0
25416,3.0,34.0,0.0,7.0
25417,4.0,290.0,3.0,154.0
25418,3.0,40.0,1.0,6.0
25419,2.0,28.0,1.0,4.0
25420,2.0,36.0,0.0,10.0
25421,4.0,25.0,2.0,5.0
25422,3.0,95.0,2.0,42.0
25423,3.0,40.0,1.0,6.0
25424,3.0,46.0,3.0,15.0
25425,2.0,53.0,1.0,11.0
25426,6.0,83.0,2.0,19.0
25427,0.0,14.0,1.0,7.0
25428,1.0,210.0,2.0,70.0
25429,3.0,45.0,2.0,8.0
25430,4.0,60.0,2.0,16.0
25431,0.0,17.0,2.0,1.0
25432,4.0,54.0,2.0,18.0
25433,0.0,112.0,0.0,35.0
25434,3.0,46.0,0.0,19.0
25435,3.0,162.0,0.0,61.0
25436,2.0,54.0,2.0,8.0
25437,3.0,38.0,2.0,17.0
25438,5.0,32.0,2.0,8.0
25439,1.0,84.0,1.0,27.0
25440,12.0,269.0,6.0,85.0
25441,4.0,148.0,1.0,30.0
25442,12.0,158.0,6.0,44.0
25443,1.0,20.0,0.0,11.0
25444,3.0,102.0,2.0,21.0
25445,1.0,31.0,2.0,16.0
25446,3.0,18.0,1.0,3.0
25447,6.0,67.0,3.0,16.0
25448,0.0,74.0,0.0,24.0
25449,1.0,36.0,1.0,11.0
25450,4.0,200.0,1.0,48.0
25451,7.0,83.0,4.0,22.0
25452,0.0,51.0,0.0,25.0
25453,4.0,48.0,2.0,21.0
25454,3.0,9.0,0.0,0.0
25455,0.0,73.0,0.0,17.0
25456,14.0,174.0,6.0,30.0
25457,6.0,44.0,2.0,8.0
25458,3.0,20.0,2.0,13.0
25459,1.0,4.0,1.0,1.0
25460,0.0,36.0,0.0,14.0
25461,0.0,44.0,0.0,15.0
25462,3.0,42.0,1.0,12.0
25463,0.0,44.0,0.0,12.0
25464,4.0,23.0,3.0,6.0
25465,0.0,20.0,0.0,8.0
25466,0.0,90.0,0.0,42.0
25467,8.0,42.0,4.0,6.0
25468,2.0,124.0,1.0,57.0
25469,3.0,21.0,2.0,1.0
25470,4.0,157.0,4.0,75.0
25471,15.0,210.0,7.0,42.0
25472,11.0,110.0,5.0,20.0
25473,3.0,21.0,2.0,4.0
25474,6.0,75.0,2.0,7.0
25475,4.0,95.0,2.0,22.0
25476,8.0,74.0,6.0,44.0
25477,0.0,24.0,0.0,6.0
25478,6.0,30.0,3.0,6.0
25479,4.0,19.0,3.0,11.0
25480,1.0,60.0,0.0,15.0
25481,0.0,294.0,0.0,49.0
25482,1.0,39.0,0.0,5.0
25483,0.0,14.0,0.0,4.0
25484,4.0,111.0,3.0,34.0
25485,18.0,252.0,7.0,50.0
25486,1.0,9.0,1.0,9.0
25487,0.0,27.0,1.0,2.0
25488,1.0,88.0,0.0,36.0
25489,1.0,83.0,0.0,34.0
25490,3.0,44.0,2.0,8.0
25491,1.0,86.0,0.0,47.0
25492,2.0,28.0,2.0,8.0
25493,4.0,9.0,3.0,4.0
25494,1.0,53.0,2.0,25.0
25495,0.0,5.0,0.0,1.0
25496,5.0,262.0,3.0,70.0
25497,1.0,48.0,1.0,18.0
25498,2.0,12.0,1.0,4.0
25499,2.0,58.0,0.0,16.0
25500,3.0,82.0,3.0,21.0
25501,2.0,59.0,1.0,28.0
25502,1.0,16.0,2.0,4.0
25503,6.0,366.0,3.0,139.0
25504,2.0,115.0,0.0,23.0
25505,9.0,84.0,4.0,22.0
25506,10.0,112.0,5.0,32.0
25507,0.0,43.0,0.0,20.0
25508,1.0,88.0,2.0,33.0
25509,0.0,24.0,0.0,7.0
25510,2.0,203.0,3.0,74.0
25511,3.0,41.0,3.0,9.0
25512,1.0,41.0,1.0,7.0
25513,5.0,159.0,0.0,34.0
25514,2.0,15.0,1.0,6.0
25515,1.0,89.0,1.0,22.0
25516,0.0,150.0,0.0,38.0
25517,13.0,170.0,7.0,50.0
25518,2.0,134.0,0.0,15.0
25519,0.0,81.0,0.0,33.0
25520,4.0,166.0,0.0,62.0
25521,2.0,10.0,1.0,1.0
25522,0.0,20.0,2.0,4.0
25523,0.0,102.0,0.0,25.0
25524,1.0,38.0,2.0,15.0
25525,2.0,93.0,1.0,20.0
25526,1.0,8.0,1.0,4.0
25527,1.0,64.0,0.0,15.0
25528,4.0,46.0,1.0,4.0
25529,3.0,41.0,2.0,8.0
25530,3.0,101.0,1.0,17.0
25531,8.0,57.0,3.0,2.0
25532,1.0,13.0,0.0,2.0
25533,4.0,46.0,3.0,14.0
25534,3.0,28.0,0.0,7.0
25535,1.0,16.0,2.0,8.0
25536,4.0,110.0,2.0,33.0
25537,0.0,137.0,1.0,62.0
25538,1.0,33.0,1.0,4.0
25539,2.0,55.0,1.0,10.0
25540,1.0,160.0,1.0,68.0
25541,7.0,268.0,3.0,82.0
25542,1.0,10.0,1.0,3.0
25543,2.0,31.0,0.0,7.0
25544,2.0,456.0,1.0,83.0
25545,0.0,64.0,0.0,22.0
25546,1.0,63.0,0.0,26.0
25547,0.0,39.0,1.0,17.0
25548,3.0,55.0,1.0,18.0
25549,4.0,22.0,2.0,8.0
25550,0.0,27.0,3.0,0.0
25551,1.0,12.0,2.0,5.0
25552,1.0,67.0,2.0,26.0
25553,0.0,46.0,0.0,20.0
25554,2.0,32.0,1.0,7.0
25555,4.0,52.0,3.0,21.0
25556,1.0,22.0,2.0,13.0
25557,12.0,246.0,6.0,72.0
25558,3.0,86.0,1.0,22.0
25559,3.0,35.0,2.0,9.0
25560,3.0,27.0,2.0,8.0
25561,4.0,97.0,3.0,26.0
25562,5.0,46.0,2.0,12.0
25563,1.0,96.0,1.0,47.0
25564,2.0,34.0,2.0,1.0
25565,2.0,65.0,2.0,18.0
25566,1.0,22.0,0.0,1.0
25567,0.0,48.0,0.0,20.0
25568,2.0,122.0,2.0,54.0
25569,7.0,108.0,3.0,31.0
25570,1.0,5.0,1.0,2.0
25571,0.0,92.0,0.0,33.0
25572,2.0,40.0,1.0,7.0
25573,1.0,4.0,0.0,2.0
25574,2.0,95.0,1.0,28.0
25575,2.0,35.0,2.0,13.0
25576,0.0,21.0,0.0,5.0
25577,4.0,102.0,2.0,22.0
25578,2.0,41.0,4.0,13.0
25579,0.0,7.0,0.0,2.0
25580,0.0,82.0,0.0,22.0
25581,4.0,34.0,2.0,7.0
25582,1.0,42.0,2.0,13.0
25583,0.0,79.0,0.0,19.0
25584,3.0,47.0,2.0,22.0
25585,2.0,20.0,1.0,7.0
25586,1.0,451.0,2.0,82.0
25587,0.0,62.0,1.0,28.0
25588,0.0,87.0,0.0,17.0
25589,1.0,63.0,1.0,15.0
25590,1.0,4.0,0.0,2.0
25591,4.0,71.0,3.0,25.0
25592,2.0,45.0,1.0,17.0
25593,14.0,212.0,6.0,44.0
25594,3.0,61.0,3.0,43.0
25595,4.0,22.0,2.0,5.0
25596,3.0,156.0,0.0,42.0
25597,18.0,252.0,7.0,50.0
25598,7.0,130.0,2.0,24.0
25599,0.0,119.0,1.0,56.0
25600,0.0,43.0,0.0,7.0
25601,0.0,48.0,0.0,8.0
25602,1.0,32.0,2.0,2.0
25603,4.0,112.0,3.0,14.0
25604,0.0,29.0,0.0,6.0
25605,2.0,164.0,1.0,56.0
25606,3.0,67.0,1.0,24.0
25607,0.0,56.0,0.0,22.0
25608,1.0,48.0,1.0,29.0
25609,3.0,132.0,0.0,25.0
25610,1.0,12.0,1.0,4.0
25611,7.0,65.0,4.0,16.0
25612,5.0,30.0,2.0,6.0
25613,0.0,77.0,0.0,38.0
25614,5.0,82.0,3.0,18.0
25615,1.0,16.0,2.0,5.0
25616,1.0,33.0,1.0,10.0
25617,3.0,70.0,1.0,26.0
25618,4.0,31.0,3.0,2.0
25619,3.0,18.0,2.0,8.0
25620,6.0,122.0,5.0,29.0
25621,1.0,239.0,1.0,64.0
25622,2.0,117.0,2.0,17.0
25623,1.0,51.0,2.0,12.0
25624,1.0,46.0,0.0,13.0
25625,2.0,64.0,2.0,35.0
25626,3.0,49.0,2.0,10.0
25627,0.0,40.0,0.0,10.0
25628,1.0,40.0,1.0,7.0
25629,9.0,169.0,5.0,47.0
25630,1.0,32.0,3.0,10.0
25631,1.0,311.0,1.0,151.0
25632,0.0,70.0,0.0,22.0
25633,0.0,33.0,1.0,4.0
25634,0.0,35.0,0.0,6.0
25635,3.0,117.0,2.0,52.0
25636,3.0,69.0,0.0,6.0
25637,3.0,53.0,1.0,7.0
25638,1.0,33.0,1.0,11.0
25639,0.0,44.0,1.0,15.0
25640,3.0,32.0,2.0,9.0
25641,3.0,16.0,3.0,4.0
25642,2.0,41.0,1.0,8.0
25643,1.0,77.0,1.0,23.0
25644,4.0,56.0,3.0,14.0
25645,2.0,94.0,1.0,11.0
25646,1.0,60.0,1.0,22.0
25647,1.0,33.0,1.0,4.0
25648,3.0,31.0,1.0,4.0
25649,1.0,4.0,0.0,2.0
25650,1.0,27.0,2.0,5.0
25651,0.0,72.0,0.0,34.0
25652,0.0,16.0,0.0,9.0
25653,7.0,98.0,2.0,19.0
25654,2.0,102.0,1.0,31.0
25655,0.0,13.0,0.0,4.0
25656,1.0,41.0,1.0,23.0
25657,4.0,27.0,1.0,3.0
25658,5.0,97.0,2.0,25.0
25659,1.0,26.0,0.0,6.0
25660,3.0,40.0,0.0,8.0
25661,1.0,36.0,3.0,10.0
25662,4.0,72.0,2.0,8.0
25663,1.0,92.0,0.0,31.0
25664,6.0,51.0,4.0,12.0
25665,1.0,134.0,1.0,54.0
25666,0.0,27.0,2.0,5.0
25667,0.0,63.0,1.0,9.0
25668,2.0,53.0,1.0,22.0
25669,4.0,45.0,5.0,12.0
25670,5.0,55.0,3.0,4.0
25671,0.0,108.0,0.0,31.0
25672,1.0,101.0,0.0,36.0
25673,3.0,135.0,1.0,30.0
25674,2.0,45.0,1.0,12.0
25675,1.0,41.0,1.0,29.0
25676,6.0,52.0,2.0,4.0
25677,1.0,61.0,1.0,17.0
25678,1.0,34.0,2.0,5.0
25679,0.0,19.0,0.0,7.0
25680,1.0,68.0,0.0,18.0
25681,6.0,43.0,2.0,7.0
25682,2.0,74.0,0.0,16.0
25683,0.0,44.0,0.0,22.0
25684,5.0,40.0,2.0,13.0
25685,2.0,48.0,1.0,8.0
25686,6.0,79.0,2.0,11.0
25687,0.0,40.0,0.0,10.0
25688,3.0,57.0,1.0,4.0
25689,2.0,139.0,2.0,37.0
25690,3.0,79.0,1.0,19.0
25691,1.0,91.0,1.0,19.0
25692,1.0,19.0,0.0,8.0
25693,2.0,118.0,1.0,43.0
25694,16.0,190.0,7.0,50.0
25695,0.0,86.0,0.0,26.0
25696,0.0,56.0,0.0,20.0
25697,2.0,72.0,1.0,15.0
25698,3.0,104.0,3.0,37.0
25699,0.0,20.0,0.0,1.0
25700,1.0,4.0,0.0,2.0
25701,3.0,65.0,0.0,3.0
25702,2.0,36.0,2.0,8.0
25703,1.0,151.0,0.0,60.0
25704,4.0,152.0,1.0,68.0
25705,14.0,212.0,6.0,44.0
25706,1.0,48.0,1.0,16.0
25707,3.0,44.0,2.0,9.0
25708,0.0,58.0,0.0,27.0
25709,0.0,35.0,1.0,8.0
25710,2.0,64.0,1.0,29.0
25711,1.0,56.0,1.0,14.0
25712,3.0,54.0,1.0,12.0
25713,3.0,14.0,2.0,0.0
25714,2.0,14.0,2.0,8.0
